CD,동네명,GUBUN,2015_1층_임대료,2016_1층_임대료,2017_1층_임대료,2018_1층_임대료,2019_1층_임대료,2020_1층_임대료,2021_1층_임대료,2022_1층_임대료,2023_1층_임대료,2024_1층_임대료,2025_1층_임대료,2015_전체점포수,2016_전체점포수,2017_전체점포수,2018_전체점포수,2019_전체점포수,2020_전체점포수,2021_전체점포수,2022_전체점포수,2023_전체점포수,2024_전체점포수,2025_전체점포수,2015_프랜차이즈비율,2016_프랜차이즈비율,2017_프랜차이즈비율,2018_프랜차이즈비율,2019_프랜차이즈비율,2020_프랜차이즈비율,2021_프랜차이즈비율,2022_프랜차이즈비율,2023_프랜차이즈비율,2024_프랜차이즈비율,2025_프랜차이즈비율,2015_개업률,2016_개업률,2017_개업률,2018_개업률,2019_개업률,2020_개업률,2021_개업률,2022_개업률,2023_개업률,2024_개업률,2025_개업률,2015_폐업률,2016_폐업률,2017_폐업률,2018_폐업률,2019_폐업률,2020_폐업률,2021_폐업률,2022_폐업률,2023_폐업률,2024_폐업률,2025_폐업률,2014외식업력평균,2015외식업력평균,2016외식업력평균,2017외식업력평균,2018외식업력평균,2019외식업력평균,2020외식업력평균,2021외식업력평균,2022외식업력평균,2023외식업력평균,2024외식업력평균
11,서울시 전체,si,115456.0,120802.0,122453.0,131016.0,132986.0,135148.0,140868.0,148711.0,156525.0,151022.0,156715.0,144604,143795,143588,142326,139686,143509,149749,155217,159297,161496,158001,16.8,17.3,17.6,17.5,19.4,19.7,20.1,20.3,20.3,20.2,19.9,3.9,4.5,4.5,3.9,4.9,5.0,3.9,3.2,4.1,4.8,2.9,4.9,5.0,4.8,4.6,4.2,4.6,3.1,2.7,4.0,4.2,3.9,,,,,,,,,,,
11110,종로구,gu,196464.0,200560.0,207788.0,217763.0,217272.0,214855.0,198296.0,215787.0,221575.0,236942.0,224435.0,7108,7108,7061,6971,6887,6976,6937,6976,7200,7307,7265,12.8,13.4,13.7,13.7,15.2,15.3,15.1,14.9,14.8,14.7,14.6,3.2,4.5,3.8,3.0,4.5,3.5,2.7,2.4,3.3,3.6,2.3,4.3,4.8,4.1,3.9,3.9,3.5,2.8,2.4,3.2,3.1,3.0,,,,,,,,,,,
11110600,가회동,dong,207844.0,170226.0,143968.0,164337.0,134200.0,168159.0,162415.0,202364.0,182265.0,213749.0,221554.0,234,227,226,229,240,240,248,265,278,269,270,11.1,12.3,13.7,14.0,15.0,15.8,14.5,13.2,11.9,10.4,10.4,3.0,2.6,3.1,4.4,1.3,3.3,2.0,4.2,1.4,4.5,2.6,4.3,3.5,1.8,2.6,1.7,1.7,2.4,3.0,2.9,5.2,1.5,5.74,5.73,5.92,6.6,7.22,7.97,8.36,8.21,8.69,9.25,9.32
11140,중구,gu,201328.0,210788.0,211113.0,226474.0,219231.0,245466.0,242787.0,249327.0,303867.0,284099.0,268193.0,6771,6693,6683,6625,6301,6511,6487,6543,6735,6912,6980,15.9,16.1,16.4,16.7,19.0,19.9,19.6,19.3,19.1,19.1,18.2,3.0,3.9,3.4,2.9,4.7,4.1,2.8,2.5,3.6,3.6,2.4,4.3,4.3,3.5,3.8,3.3,3.7,2.9,2.4,3.1,3.2,2.9,,,,,,,,,,,
11140605,을지로동,dong,157551.0,169623.0,212422.0,194498.0,187634.0,180007.0,185740.0,211481.0,333720.0,279190.0,258252.0,623,613,628,615,545,608,649,669,689,728,773,7.5,7.5,7.5,7.6,11.0,12.2,12.2,12.3,11.8,11.1,10.6,2.9,3.3,4.0,3.7,5.0,6.3,1.5,3.6,4.1,5.8,2.5,2.9,3.1,3.5,3.9,4.0,4.6,1.2,3.7,4.1,3.0,2.8,11.77,12.17,11.19,11.09,11.11,11.18,11.47,12.02,12.2,12.12,12.07
11170,용산구,gu,109546.0,123629.0,126327.0,131007.0,134626.0,133054.0,139914.0,149289.0,168079.0,147956.0,142167.0,4671,4882,4951,4985,5015,5123,5200,5404,5691,5868,5804,13.1,13.2,12.8,12.5,14.0,14.1,14.4,14.1,14.2,14.5,14.0,4.7,4.6,4.1,3.7,4.2,4.7,3.0,3.5,3.6,4.1,2.6,3.9,4.0,3.9,4.4,3.5,4.6,3.2,2.1,3.0,3.3,3.2,,,,,,,,,,,
11170510,후암동,dong,131212.0,107790.0,116170.0,111420.0,111138.0,114071.0,104994.0,130815.0,159727.0,106700.0,123015.0,184,194,196,201,203,214,215,227,230,242,241,10.9,12.4,12.2,11.4,9.4,10.3,10.2,9.3,9.6,9.9,11.2,5.4,5.7,5.6,4.5,3.4,6.1,0.9,3.1,3.9,7.0,1.2,2.7,4.1,5.6,5.0,3.4,4.2,3.7,0.4,3.9,3.7,0.4,8.15,7.54,7.67,7.39,7.4,7.27,7.56,8.14,8.83,8.81,8.88
11170660,이태원2동,dong,99156.0,136902.0,169317.0,223485.0,191382.0,137777.0,174699.0,171719.0,184292.0,169327.0,173013.0,301,360,374,364,371,322,308,318,326,327,313,8.3,8.1,8.3,7.7,6.2,7.5,8.1,8.2,8.6,7.6,6.4,8.6,6.4,4.5,3.8,4.3,4.0,3.2,5.3,2.8,4.6,2.6,2.3,5.0,4.8,6.0,6.5,8.7,5.5,3.1,4.0,4.0,2.9,,,,,,,,,,,
11170685,한남동,dong,104543.0,123742.0,132098.0,145660.0,122788.0,145118.0,134048.0,155337.0,163414.0,169292.0,193823.0,608,630,653,676,715,755,774,756,795,803,780,10.2,10.0,9.3,9.5,10.6,10.1,9.2,8.9,8.8,9.5,9.4,4.6,4.6,4.9,2.5,4.6,5.8,3.2,1.9,4.7,2.2,2.9,3.9,3.7,3.8,4.6,2.9,4.2,3.5,2.5,3.5,2.6,4.0,7.37,7.19,7.11,6.81,6.8,7.08,7.12,7.4,7.56,7.8,8.12
11200,성동구,gu,98089.0,106611.0,116051.0,127410.0,122685.0,117770.0,127521.0,143175.0,214219.0,173475.0,149747.0,3744,3757,3818,3888,4105,4365,4696,4927,5182,5370,5279,17.7,17.9,17.9,18.1,19.8,19.9,20.2,19.8,18.8,18.3,17.4,3.5,4.4,4.9,4.0,5.2,5.4,4.2,3.7,4.4,4.8,3.0,4.3,4.8,4.8,4.8,4.3,3.9,2.8,3.0,3.6,3.8,3.6,,,,,,,,,,,
